WBS ID,Level,Issue Title,Parent WBS ID,Gate,Scope Class,Initial Status,Dependencies,Research Inputs,Acceptance,Body Note
SWE-ARC-LAY-WP1,Work Package,[SWE-ARC-LAY-WP1] Lock architectural layers and ownership,SWE-ARC-LAY,G0,Active baseline,Backlog,SWE-ARC-TGT-WP1,,Every v0.2 Domain maps to one owning layer and documented interfaces.,
SWE-ARC-LAY-WP1-T1,Task,"[SWE-ARC-LAY-WP1-T1] Define core, numerical, data, geospatial, application, adapter and UI layers.",SWE-ARC-LAY-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-LAY-WP1-T2,Task,[SWE-ARC-LAY-WP1-T2] Write dependency rules and prohibited coupling cases.,SWE-ARC-LAY-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-LAY-WP1-T3,Task,"[SWE-ARC-LAY-WP1-T3] Record extension points for regional, local and coupling solvers.",SWE-ARC-LAY-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-CASE-WP1,Work Package,[SWE-ARC-CASE-WP1] Define the simulation-case lifecycle,SWE-ARC-CASE,G0,Active baseline,Backlog,SWE-ARC-LAY-WP1,,A case has a deterministic directory layout and explicit lifecycle transitions.,
SWE-ARC-CASE-WP1-T1,Task,"[SWE-ARC-CASE-WP1-T1] Define case states from creation through validation, execution and archival.",SWE-ARC-CASE-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-CASE-WP1-T2,Task,[SWE-ARC-CASE-WP1-T2] Define the canonical case-directory and artefact layout.,SWE-ARC-CASE-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-CASE-WP1-T3,Task,"[SWE-ARC-CASE-WP1-T3] Define schema-version, provenance and restart compatibility rules.",SWE-ARC-CASE-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-API-WP1,Work Package,[SWE-ARC-API-WP1] Define stable core interface contracts,SWE-ARC-API,G0,Active baseline,Backlog,SWE-ARC-LAY-WP1,,Interfaces expose no Qt types in numerical/data core contracts.,
SWE-ARC-API-WP1-T1,Task,"[SWE-ARC-API-WP1-T1] Specify mesh, field, I/O, solver, coupling and observer interface responsibilities.",SWE-ARC-API-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-API-WP1-T2,Task,"[SWE-ARC-API-WP1-T2] Specify ownership, mutability, lifetime and error contracts.",SWE-ARC-API-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-API-WP1-T3,Task,[SWE-ARC-API-WP1-T3] Create interface stubs or headers sufficient for dependent target compilation.,SWE-ARC-API-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-SVC-WP1,Work Package,[SWE-ARC-SVC-WP1] Define the shared application-service contract,SWE-ARC-SVC,G0,Active baseline,Backlog,SWE-ARC-API-WP1; SWE-ARC-CASE-WP1,,CLI and Qt shell can invoke the same application-service boundary.,
SWE-ARC-SVC-WP1-T1,Task,"[SWE-ARC-SVC-WP1-T1] Specify case validation, run preparation, launch, cancellation and result-discovery operations.",SWE-ARC-SVC-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-SVC-WP1-T2,Task,[SWE-ARC-SVC-WP1-T2] Define identical orchestration entry points for CLI and GUI adapters.,SWE-ARC-SVC-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-SVC-WP1-T3,Task,[SWE-ARC-SVC-WP1-T3] Create a no-solver service stub for smoke testing.,SWE-ARC-SVC-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-ERR-WP1,Work Package,[SWE-ARC-ERR-WP1] Define diagnostics and failure propagation,SWE-ARC-ERR,G0,Active baseline,Backlog,SWE-ARC-API-WP1; SWE-ARC-SVC-WP1,,A representative validation failure reaches CLI and GUI with preserved context.,
SWE-ARC-ERR-WP1-T1,Task,"[SWE-ARC-ERR-WP1-T1] Define error categories, status objects and severity levels.",SWE-ARC-ERR-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-ERR-WP1-T2,Task,"[SWE-ARC-ERR-WP1-T2] Define structured logging, cancellation and contextual diagnostic rules.",SWE-ARC-ERR-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-ARC-ERR-WP1-T3,Task,[SWE-ARC-ERR-WP1-T3] Implement a minimal diagnostic path from core to CLI and GUI.,SWE-ARC-ERR-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-SHL-WP1,Work Package,[SWE-GUI-SHL-WP1] Create the Qt Quick application shell,SWE-GUI-SHL,G0,Active baseline,Backlog,SWE-ARC-SVC-WP1; SWE-ARC-ERR-WP1; SWE-ENV-DEP-WP1,,The shell launches and displays service status without linking Qt into core libraries.,
SWE-GUI-SHL-WP1-T1,Task,[SWE-GUI-SHL-WP1-T1] Create the Qt Quick/QML application target and resource structure.,SWE-GUI-SHL-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-SHL-WP1-T2,Task,"[SWE-GUI-SHL-WP1-T2] Implement navigation placeholders for data, domain, mesh, physics, solver, run and post-processing.",SWE-GUI-SHL-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-SHL-WP1-T3,Task,[SWE-GUI-SHL-WP1-T3] Connect the shell to the application-service and diagnostic stubs.,SWE-GUI-SHL-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-VER-UNIT-WP1,Work Package,[SWE-VER-UNIT-WP1] Establish the unit and smoke-test framework,SWE-VER-UNIT,G0,Active baseline,Backlog,SWE-ENV-BLD-WP1; SWE-ARC-API-WP1,,CTest discovers and executes tests through the shared presets.,
SWE-VER-UNIT-WP1-T1,Task,[SWE-VER-UNIT-WP1-T1] Select and integrate the C++ test framework.,SWE-VER-UNIT-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-VER-UNIT-WP1-T2,Task,"[SWE-VER-UNIT-WP1-T2] Create representative core, configuration and adapter smoke tests.",SWE-VER-UNIT-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-VER-UNIT-WP1-T3,Task,[SWE-VER-UNIT-WP1-T3] Register tests through CTest and presets.,SWE-VER-UNIT-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-REL-CI-WP1,Work Package,[SWE-REL-CI-WP1] Create the baseline CI workflow,SWE-REL-CI,G0,Active baseline,Backlog,SWE-ENV-PRS-WP1; SWE-VER-UNIT-WP1,,"A pull request triggers reproducible configure, build and test checks.",
SWE-REL-CI-WP1-T1,Task,"[SWE-REL-CI-WP1-T1] Configure clean checkout, dependency restore and preset-based build.",SWE-REL-CI-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-REL-CI-WP1-T2,Task,[SWE-REL-CI-WP1-T2] Run smoke/unit tests and retain diagnostic artefacts on failure.,SWE-REL-CI-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-REL-CI-WP1-T3,Task,[SWE-REL-CI-WP1-T3] Document branch and pull-request quality gates.,SWE-REL-CI-WP1,G0,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-CFG-WP1,Work Package,[SWE-DAT-CFG-WP1] Implement the versioned case schema,SWE-DAT-CFG,G1,Active baseline,Backlog,SWE-ARC-CASE-WP1; SWE-ARC-ERR-WP1,RES-MOD; RES-NUM,G1 case fixtures validate deterministically and invalid cases identify exact fields.,
SWE-DAT-CFG-WP1-T1,Task,[SWE-DAT-CFG-WP1-T1] Define the minimum G1 case structure and schema version.,SWE-DAT-CFG-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-CFG-WP1-T2,Task,"[SWE-DAT-CFG-WP1-T2] Implement parsing, semantic validation and contextual diagnostics.",SWE-DAT-CFG-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-CFG-WP1-T3,Task,"[SWE-DAT-CFG-WP1-T3] Create valid, invalid and migration fixture cases.",SWE-DAT-CFG-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-MAN-WP1,Work Package,[SWE-DAT-MAN-WP1] Implement the dataset and provenance manifest,SWE-DAT-MAN,G1,Active baseline,Backlog,SWE-DAT-CFG-WP1,RES-DAT-GEO; RES-DAT-SRC; RES-DAT-OBS; RES-DAT-UNC; RES-DAT-CAS,Every G1 source and generated artefact has machine-readable provenance.,
SWE-DAT-MAN-WP1-T1,Task,"[SWE-DAT-MAN-WP1-T1] Define source, provider, licence, CRS, vertical datum, resolution and processing records.",SWE-DAT-MAN-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-SRC; RES-DAT-OBS; RES-DAT-UNC; RES-DAT-CAS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-MAN-WP1-T2,Task,[SWE-DAT-MAN-WP1-T2] Implement manifest validation and generated-artefact lineage.,SWE-DAT-MAN-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-SRC; RES-DAT-OBS; RES-DAT-UNC; RES-DAT-CAS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-MAN-WP1-T3,Task,[SWE-DAT-MAN-WP1-T3] Create a sample Tohoku/corridor manifest fixture.,SWE-DAT-MAN-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-SRC; RES-DAT-OBS; RES-DAT-UNC; RES-DAT-CAS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-SCH-WP1,Work Package,[SWE-DAT-SCH-WP1] Define and implement the G1 HDF5 schema,SWE-DAT-SCH,G1,Active baseline,Backlog,SWE-FVM-MSH-WP1; SWE-FVM-FLD-WP1; SWE-DAT-MAN-WP1,,"The G1 mesh and fields round-trip without topology, tag or metadata loss.",
SWE-DAT-SCH-WP1-T1,Task,"[SWE-DAT-SCH-WP1-T1] Define mesh, patch, field, metadata and provenance groups.",SWE-DAT-SCH-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-SCH-WP1-T2,Task,[SWE-DAT-SCH-WP1-T2] Implement write/read adapters for the G1 topology and sample fields.,SWE-DAT-SCH-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-SCH-WP1-T3,Task,[SWE-DAT-SCH-WP1-T3] Version the schema and create compatibility checks.,SWE-DAT-SCH-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-XDMF-WP1,Work Package,[SWE-DAT-XDMF-WP1] Generate XDMF descriptors for G1 outputs,SWE-DAT-XDMF,G1,Active baseline,Backlog,SWE-DAT-SCH-WP1,,ParaView opens the generated XDMF/HDF5 pair with correct mesh and fields.,
SWE-DAT-XDMF-WP1-T1,Task,"[SWE-DAT-XDMF-WP1-T1] Map HDF5 topology, geometry and field datasets into XDMF.",SWE-DAT-XDMF-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-XDMF-WP1-T2,Task,[SWE-DAT-XDMF-WP1-T2] Generate temporal/static metadata required by ParaView.,SWE-DAT-XDMF-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-DAT-XDMF-WP1-T3,Task,[SWE-DAT-XDMF-WP1-T3] Validate the descriptor against the sample HDF5 case.,SWE-DAT-XDMF-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-MSH-WP1,Work Package,[SWE-FVM-MSH-WP1] Implement the shared control-volume topology,SWE-FVM-MSH,G1,Active baseline,Backlog,SWE-ARC-API-WP1,RES-NUM,"The reference mesh preserves connectivity, orientation, volumes, areas, normals and patches.",
SWE-FVM-MSH-WP1-T1,Task,"[SWE-FVM-MSH-WP1-T1] Define cell, face, owner/neighbour, patch and discrete-geometry records.",SWE-FVM-MSH-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-MSH-WP1-T2,Task,[SWE-FVM-MSH-WP1-T2] Implement topology construction and invariant checks from imported mesh data.,SWE-FVM-MSH-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-MSH-WP1-T3,Task,[SWE-FVM-MSH-WP1-T3] Create a small tagged reference mesh fixture.,SWE-FVM-MSH-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-FLD-WP1,Work Package,[SWE-FVM-FLD-WP1] Implement typed field containers,SWE-FVM-FLD,G1,Active baseline,Backlog,SWE-FVM-MSH-WP1,RES-MOD; RES-NUM,Fields reject incompatible topology and retain location/unit/name metadata.,
SWE-FVM-FLD-WP1-T1,Task,"[SWE-FVM-FLD-WP1-T1] Define scalar/vector field storage with cell, face and patch locations.",SWE-FVM-FLD-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-FLD-WP1-T2,Task,"[SWE-FVM-FLD-WP1-T2] Implement sizing, metadata, access and topology-compatibility checks.",SWE-FVM-FLD-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-FLD-WP1-T3,Task,[SWE-FVM-FLD-WP1-T3] Populate deterministic sample fields on the reference mesh.,SWE-FVM-FLD-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-BC-WP1,Work Package,[SWE-FVM-BC-WP1] Implement the boundary-patch framework,SWE-FVM-BC,G1,Active baseline,Backlog,SWE-FVM-MSH-WP1; SWE-FVM-FLD-WP1,RES-NUM,Imported patch tags map deterministically to generic boundary objects.,
SWE-FVM-BC-WP1-T1,Task,"[SWE-FVM-BC-WP1-T1] Define patch identity, type, entity membership and metadata.",SWE-FVM-BC-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-BC-WP1-T2,Task,[SWE-FVM-BC-WP1-T2] Define a generic boundary-condition interface without solver-specific equations.,SWE-FVM-BC-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-BC-WP1-T3,Task,"[SWE-FVM-BC-WP1-T3] Create fixed-value, zero-gradient and named-placeholder fixtures.",SWE-FVM-BC-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-NUM-WP1,Work Package,[SWE-FVM-NUM-WP1] Implement G1 interpolation and gradient primitives,SWE-FVM-NUM,G1,Active baseline,Backlog,SWE-FVM-MSH-WP1; SWE-FVM-FLD-WP1,RES-NUM,Constant-field invariance and defined linear-field tolerances pass.,
SWE-FVM-NUM-WP1-T1,Task,[SWE-FVM-NUM-WP1-T1] Implement cell-to-face interpolation required for inspection fixtures.,SWE-FVM-NUM-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-NUM-WP1-T2,Task,[SWE-FVM-NUM-WP1-T2] Implement a basic gradient operator on the reference mesh.,SWE-FVM-NUM-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-FVM-NUM-WP1-T3,Task,[SWE-FVM-NUM-WP1-T3] Verify exactness/consistency using constant and linear manufactured fields.,SWE-FVM-NUM-WP1,G1,Active baseline,Backlog,,RES-NUM,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-IMP-WP1,Work Package,[SWE-GEO-IMP-WP1] Implement sample raster/vector import adapters,SWE-GEO-IMP,G1,Active baseline,Backlog,SWE-DAT-MAN-WP1,RES-DAT-GEO; RES-DAT-OBS,Imported fixtures preserve source metadata and fail clearly on unsupported inputs.,
SWE-GEO-IMP-WP1-T1,Task,[SWE-GEO-IMP-WP1-T1] Read the selected G1 raster and vector fixture formats.,SWE-GEO-IMP-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-OBS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-IMP-WP1-T2,Task,"[SWE-GEO-IMP-WP1-T2] Extract CRS, extent, resolution, nodata and source metadata.",SWE-GEO-IMP-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-OBS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-IMP-WP1-T3,Task,[SWE-GEO-IMP-WP1-T3] Emit canonical import records linked to the dataset manifest.,SWE-GEO-IMP-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-OBS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-CRS-WP1,Work Package,[SWE-GEO-CRS-WP1] Implement coordinate and datum transformation handling,SWE-GEO-CRS,G1,Active baseline,Backlog,SWE-GEO-IMP-WP1,RES-DAT-UNC; RES-DAT-SCN,Known control points satisfy the accepted transformation tolerance.,
SWE-GEO-CRS-WP1-T1,Task,[SWE-GEO-CRS-WP1-T1] Define the WGS84-to-metric corridor transformation workflow.,SWE-GEO-CRS-WP1,G1,Active baseline,Backlog,,RES-DAT-UNC; RES-DAT-SCN,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-CRS-WP1-T2,Task,[SWE-GEO-CRS-WP1-T2] Apply transformations while retaining source/target CRS provenance.,SWE-GEO-CRS-WP1,G1,Active baseline,Backlog,,RES-DAT-UNC; RES-DAT-SCN,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-CRS-WP1-T3,Task,[SWE-GEO-CRS-WP1-T3] Create round-trip and known-point transformation tests.,SWE-GEO-CRS-WP1,G1,Active baseline,Backlog,,RES-DAT-UNC; RES-DAT-SCN,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-COR-WP1,Work Package,[SWE-GEO-COR-WP1] Implement evidence-driven corridor construction,SWE-GEO-COR,G1,Active baseline,Backlog,SWE-GEO-CRS-WP1; SWE-DAT-CFG-WP1,RES-DAT-SCN; RES-DAT-CAS,The two corridor fixtures reproduce configured geometry and record all defining inputs.,
SWE-GEO-COR-WP1-T1,Task,[SWE-GEO-COR-WP1-T1] Create epicentre/target centreline and local rotated basis construction.,SWE-GEO-COR-WP1,G1,Active baseline,Backlog,,RES-DAT-SCN; RES-DAT-CAS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-COR-WP1-T2,Task,"[SWE-GEO-COR-WP1-T2] Apply L_pre, L_inland, width and flat-ended buffering parameters.",SWE-GEO-COR-WP1,G1,Active baseline,Backlog,,RES-DAT-SCN; RES-DAT-CAS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-COR-WP1-T3,Task,[SWE-GEO-COR-WP1-T3] Export Kamaishi and Sendai sample corridor polygons with provenance.,SWE-GEO-COR-WP1,G1,Active baseline,Backlog,,RES-DAT-SCN; RES-DAT-CAS,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-TER-WP1,Work Package,[SWE-GEO-TER-WP1] Implement G1 terrain conditioning,SWE-GEO-TER,G1,Active baseline,Backlog,SWE-GEO-COR-WP1; SWE-GEO-IMP-WP1,RES-DAT-GEO; RES-DAT-UNC,The conditioned raster has no unexplained nodata and records transformation/resampling steps.,
SWE-GEO-TER-WP1-T1,Task,[SWE-GEO-TER-WP1-T1] Clip sample bathymetry/topography to the corridor.,SWE-GEO-TER-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-UNC,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-TER-WP1-T2,Task,"[SWE-GEO-TER-WP1-T2] Handle nodata, merging and resampling with explicit policies.",SWE-GEO-TER-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-UNC,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-TER-WP1-T3,Task,[SWE-GEO-TER-WP1-T3] Export a conditioned terrain fixture with lineage metadata.,SWE-GEO-TER-WP1,G1,Active baseline,Backlog,,RES-DAT-GEO; RES-DAT-UNC,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-MSH-WP1,Work Package,[SWE-GEO-MSH-WP1] Implement the tagged Gmsh import workflow,SWE-GEO-MSH,G1,Active baseline,Backlog,SWE-FVM-MSH-WP1; SWE-GEO-TER-WP1,RES-NUM; RES-GEO,"All expected cells, faces and physical groups are preserved in the FVM mesh.",
SWE-GEO-MSH-WP1-T1,Task,[SWE-GEO-MSH-WP1-T1] Define the G1 Gmsh physical-group naming convention.,SWE-GEO-MSH-WP1,G1,Active baseline,Backlog,,RES-NUM; RES-GEO,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-MSH-WP1-T2,Task,"[SWE-GEO-MSH-WP1-T2] Import nodes, elements and physical tags into canonical adapter records.",SWE-GEO-MSH-WP1,G1,Active baseline,Backlog,,RES-NUM; RES-GEO,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-MSH-WP1-T3,Task,[SWE-GEO-MSH-WP1-T3] Transfer the fixture into the shared FVM topology.,SWE-GEO-MSH-WP1,G1,Active baseline,Backlog,,RES-NUM; RES-GEO,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-TAG-WP1,Work Package,[SWE-GEO-TAG-WP1] Implement canonical region and boundary tagging,SWE-GEO-TAG,G1,Active baseline,Backlog,SWE-GEO-MSH-WP1; SWE-FVM-BC-WP1,RES-MOD; RES-GEO,The reference mesh passes tag validation and exported tags remain identifiable.,
SWE-GEO-TAG-WP1-T1,Task,"[SWE-GEO-TAG-WP1-T1] Define terrain, inlet, outlet, side, top, barrier and material tag semantics.",SWE-GEO-TAG-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-GEO,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-TAG-WP1-T2,Task,[SWE-GEO-TAG-WP1-T2] Validate required/forbidden tag combinations for 2D and 3D meshes.,SWE-GEO-TAG-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-GEO,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-TAG-WP1-T3,Task,[SWE-GEO-TAG-WP1-T3] Persist tags through HDF5/XDMF export.,SWE-GEO-TAG-WP1,G1,Active baseline,Backlog,,RES-MOD; RES-GEO,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-BAR-WP1,Work Package,[SWE-GEO-BAR-WP1] Implement method-neutral rigid barrier descriptors,SWE-GEO-BAR,G1,Active baseline,Backlog,SWE-DAT-CFG-WP1; SWE-GEO-TAG-WP1,RES-GEO; RES-PHY-BAR,Barrier class and placement are reproducible independently of the eventual discretisation method.,
SWE-GEO-BAR-WP1-T1,Task,[SWE-GEO-BAR-WP1-T1] Define wall-type and obstacle/dissipating-class descriptors.,SWE-GEO-BAR-WP1,G1,Active baseline,Backlog,,RES-GEO; RES-PHY-BAR,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-BAR-WP1-T2,Task,"[SWE-GEO-BAR-WP1-T2] Define placement, orientation, dimensions and case-reference metadata.",SWE-GEO-BAR-WP1,G1,Active baseline,Backlog,,RES-GEO; RES-PHY-BAR,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-BAR-WP1-T3,Task,[SWE-GEO-BAR-WP1-T3] Attach a sample rigid barrier descriptor to the G1 case without selecting IBM/cut-cell methods.,SWE-GEO-BAR-WP1,G1,Active baseline,Backlog,,RES-GEO; RES-PHY-BAR,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-CHK-WP1,Work Package,"[SWE-GEO-CHK-WP1] Implement corridor, geometry and mesh checks",SWE-GEO-CHK,G1,Active baseline,Backlog,SWE-GEO-COR-WP1; SWE-GEO-MSH-WP1; SWE-GEO-TAG-WP1,RES-VER,Injected invalid fixtures fail the intended checks with specific diagnostics.,
SWE-GEO-CHK-WP1-T1,Task,"[SWE-GEO-CHK-WP1-T1] Check corridor validity, raster coverage and CRS consistency.",SWE-GEO-CHK-WP1,G1,Active baseline,Backlog,,RES-VER,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-CHK-WP1-T2,Task,"[SWE-GEO-CHK-WP1-T2] Check mesh topology, face orientation, positive measures and required patches.",SWE-GEO-CHK-WP1,G1,Active baseline,Backlog,,RES-VER,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GEO-CHK-WP1-T3,Task,[SWE-GEO-CHK-WP1-T3] Emit structured diagnostics consumable by CLI and Qt.,SWE-GEO-CHK-WP1,G1,Active baseline,Backlog,,RES-VER,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-CAS-WP1,Work Package,[SWE-GUI-CAS-WP1] Expose G1 case and manifest inspection,SWE-GUI-CAS,G1,Active baseline,Backlog,SWE-DAT-CFG-WP1; SWE-DAT-MAN-WP1; SWE-GUI-SHL-WP1,,The Qt shell can inspect valid G1 cases and explain invalid ones.,
SWE-GUI-CAS-WP1-T1,Task,[SWE-GUI-CAS-WP1-T1] Load and display case-schema and dataset-manifest summaries.,SWE-GUI-CAS-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-CAS-WP1-T2,Task,[SWE-GUI-CAS-WP1-T2] Present validation errors with field and source context.,SWE-GUI-CAS-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-CAS-WP1-T3,Task,[SWE-GUI-CAS-WP1-T3] Expose generated artefact locations without implementing full editing.,SWE-GUI-CAS-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-VIS-WP1,Work Package,[SWE-GUI-VIS-WP1] Expose the G1 mesh/field result,SWE-GUI-VIS,G1,Active baseline,Backlog,SWE-DAT-XDMF-WP1; SWE-GUI-SHL-WP1,,A user can locate and open the G1 result from the application workflow.,
SWE-GUI-VIS-WP1-T1,Task,[SWE-GUI-VIS-WP1-T1] Catalogue the generated HDF5/XDMF result.,SWE-GUI-VIS-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-VIS-WP1-T2,Task,[SWE-GUI-VIS-WP1-T2] Display a lightweight metadata/mesh summary in the Qt shell.,SWE-GUI-VIS-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
SWE-GUI-VIS-WP1-T3,Task,[SWE-GUI-VIS-WP1-T3] Provide a controlled ParaView hand-off for the XDMF output.,SWE-GUI-VIS-WP1,G1,Active baseline,Backlog,,,"Task output is committed, reviewed and linked to its parent Work Package.",
