wbs_id,issue_number,title,level,parent_wbs,current_state,recommended_disposition,gate_relevance,implementation_route,evidence,remaining_acceptance,recommended_issue_action
SWE-L3D-SST,59,[SWE-L3D-SST] `k`--`omega` SST turbulence transport and turbulent-viscosity update.,Deliverable,SWE-L3D,open,complete_adopted_backend,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add adopted-backend closure comment and close as completed.
SWE-L3D-WLF,60,[SWE-L3D-WLF] Scalable wall-function treatment for terrain and barrier walls.,Deliverable,SWE-L3D,open,partial,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",y+ evidence; wall-function applicability; roughness policy; mesh-resolution consistency; load sensitivity,Add evidence comment and keep open.
SWE-L3D-BC,61,"[SWE-L3D-BC] Regional-forced inlet, open/radiation outlet, lateral open-ocean, atmospheric-top, terrain and barrier boundary conditions.",Deliverable,SWE-L3D,open,partial,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",production lateral open-ocean treatment; reflection assessment; boundary-condition benchmark evidence; clear distinction between symmetry test mode and open-ocean mode,Add evidence comment and keep open.
SWE-L3D-TIM,62,"[SWE-L3D-TIM] CFL, interface-CFL, gravity-wave and diffusion timestep constraints with timestep rejection.",Deliverable,SWE-L3D,open,partial,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",diffusive timestep constraint evidence; step-rejection/recovery disposition; formal timestep-convergence evidence,Add evidence comment and keep open.
SWE-L3D-SOL,63,[SWE-L3D-SOL] Exact transient segregated URANS--VOF solve sequence and field-acceptance loop.,Deliverable,SWE-L3D,open,complete_adopted_backend,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add adopted-backend closure comment and close as completed.
SWE-L3D-FRC,64,"[SWE-L3D-FRC] Barrier pressure, shear, traction, force and moment integration.",Deliverable,SWE-L3D,open,partial,g6_required,OpenFOAM adopted,"PR #270 / merge commit dc416f8 adds OpenFOAM 11 replay conversion, case generation, wrapper and synthetic smoke acceptance.; PR #271 / merge commit 1ba6475 adds the Kamaishi end-to-end delivery pipeline and complete 300 s Local3D replay acceptance.; tools/openfoam/openfoam_replay.py generates OpenFOAM dictionaries for incompressibleVoF, kOmegaSST, fields, boundaries, probes and forces.; tools/openfoam/run_openfoam11.sh runs docker.io/openfoam/openfoam11-paraview510:11 with networking disabled.; tools/cases/kamaishi_delivery.py orchestrates no_defence and simple_rigid_barrier OpenFOAM stages and validates outputs.; tests/openfoam/test_openfoam_replay.py and tests/cases/test_kamaishi_delivery.py cover replay conversion, case generation and delivery controls.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",surface pressure distribution; wall shear distribution; traction-vector output; impulse integration; load convergence; approved validation comparison,Add evidence comment and keep open.
SWE-CPL-IFC,65,"[SWE-CPL-IFC] Regional/local state, coordinate, convention and interface specification.",Deliverable,SWE-CPL,open,complete_native,g6_required,Native,"PR #269 / merge commit 5de4a2f exports Regional2D coupling metadata.json, samples.csv and history.csv.; PR #270 / merge commit dc416f8 converts G3 coupling exports to OpenFOAM boundaryData and replay diagnostics.; src/coupling/include/tsunami/coupling/SectionExport.hpp records the section export contract.; tools/openfoam/openfoam_replay.py validates sample ordering, support widths, interpolation, dry handling and discharge residuals.; tests/openfoam/test_openfoam_replay.py covers parser rejection, deterministic boundaryData, support widths and discharge residuals.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add native coupling evidence closure comment and close as completed.
SWE-CPL-RPL,66,[SWE-CPL-RPL] Versioned regional-output and local replay-boundary format.,Deliverable,SWE-CPL,open,complete_native,g6_required,Native,"PR #269 / merge commit 5de4a2f exports Regional2D coupling metadata.json, samples.csv and history.csv.; PR #270 / merge commit dc416f8 converts G3 coupling exports to OpenFOAM boundaryData and replay diagnostics.; src/coupling/include/tsunami/coupling/SectionExport.hpp records the section export contract.; tools/openfoam/openfoam_replay.py validates sample ordering, support widths, interpolation, dry handling and discharge residuals.; tests/openfoam/test_openfoam_replay.py covers parser rejection, deterministic boundaryData, support widths and discharge residuals.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add native coupling evidence closure comment and close as completed.
SWE-CPL-MAP,67,[SWE-CPL-MAP] Spatial mapping and temporal interpolation from regional output to the local interface.,Deliverable,SWE-CPL,open,complete_native,g6_required,Native,"PR #269 / merge commit 5de4a2f exports Regional2D coupling metadata.json, samples.csv and history.csv.; PR #270 / merge commit dc416f8 converts G3 coupling exports to OpenFOAM boundaryData and replay diagnostics.; src/coupling/include/tsunami/coupling/SectionExport.hpp records the section export contract.; tools/openfoam/openfoam_replay.py validates sample ordering, support widths, interpolation, dry handling and discharge residuals.; tests/openfoam/test_openfoam_replay.py covers parser rejection, deterministic boundaryData, support widths and discharge residuals.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add native coupling evidence closure comment and close as completed.
SWE-CPL-BC,68,[SWE-CPL-BC] Reconstruction of three-dimensional local inlet conditions from depth-averaged regional variables.,Deliverable,SWE-CPL,open,complete_native,g6_required,Native,"PR #269 / merge commit 5de4a2f exports Regional2D coupling metadata.json, samples.csv and history.csv.; PR #270 / merge commit dc416f8 converts G3 coupling exports to OpenFOAM boundaryData and replay diagnostics.; src/coupling/include/tsunami/coupling/SectionExport.hpp records the section export contract.; tools/openfoam/openfoam_replay.py validates sample ordering, support widths, interpolation, dry handling and discharge residuals.; tests/openfoam/test_openfoam_replay.py covers parser rejection, deterministic boundaryData, support widths and discharge residuals.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",,Add native coupling evidence closure comment and close as completed.
SWE-CPL-MET,69,"[SWE-CPL-MET] Run-up, overtopping, transmission, pressure, force, moment, impulse and energy metric implementation.",Deliverable,SWE-CPL,open,partial,post_g6,Native,"PR #269 / merge commit 5de4a2f exports Regional2D coupling metadata.json, samples.csv and history.csv.; PR #270 / merge commit dc416f8 converts G3 coupling exports to OpenFOAM boundaryData and replay diagnostics.; src/coupling/include/tsunami/coupling/SectionExport.hpp records the section export contract.; tools/openfoam/openfoam_replay.py validates sample ordering, support widths, interpolation, dry handling and discharge residuals.; tests/openfoam/test_openfoam_replay.py covers parser rejection, deterministic boundaryData, support widths and discharge residuals.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",run-up; overtopping; transmission coefficient; impulse; energy metrics; approved validation context,Add evidence comment and keep open.
SWE-CPL-CMP,70,[SWE-CPL-CMP] Reproducible wall-type versus obstacle/dissipating barrier comparison runner.,Deliverable,SWE-CPL,open,partial,post_g6,Native,"PR #269 / merge commit 5de4a2f exports Regional2D coupling metadata.json, samples.csv and history.csv.; PR #270 / merge commit dc416f8 converts G3 coupling exports to OpenFOAM boundaryData and replay diagnostics.; src/coupling/include/tsunami/coupling/SectionExport.hpp records the section export contract.; tools/openfoam/openfoam_replay.py validates sample ordering, support widths, interpolation, dry handling and discharge residuals.; tests/openfoam/test_openfoam_replay.py covers parser rejection, deterministic boundaryData, support widths and discharge residuals.; PR #271 / merge commit 1ba6475 accepts a real-data pipeline from earthquake source through Regional2D, coupling export, OpenFOAM replay and both Local3D variants.; cases/kamaishi_delivery/case_spec.json records USGS Tohoku, ETOPO 2022, EPSG:32654, EGM2008, Kamaishi interface and model controls.; Accepted run command in PR #271 uses tools/cases/run_kamaishi_hybrid_delivery.py with the etopo-1000m offline profile.; PR #271 records blockMesh/checkMesh/setFields/foamRun/foamToVTK exit status 0 for no_defence and simple_rigid_barrier.; PR #271 records finite final U and p_rgh fields, bounded alpha.water, probe coverage, force coverage and VTK final-time output.",wall-type versus obstacle/dissipating barrier comparison; second barrier-class geometry; identical-forcing comparison; comparison metrics,Add evidence comment and keep open.
SWE-GUI-SHL,71,[SWE-GUI-SHL] Qt Quick/QML application shell and navigation structure.,Deliverable,SWE-GUI,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,deferred until after theoretical-model gate and calibration readiness,Keep open if open; mark deferred/excluded in reconciliation ledger and Project fields where supported.
SWE-GUI-CAS,72,"[SWE-GUI-CAS] Data, corridor, domain, mesh, physics, solver and output case editor.",Deliverable,SWE-GUI,open,deferred,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,deferred until after theoretical-model gate and calibration readiness,Keep open if open; mark deferred/excluded in reconciliation ledger and Project fields where supported.
SWE-GUI-RUN,73,"[SWE-GUI-RUN] Headless-process launch, monitoring, cancellation and run-state control.",Deliverable,SWE-GUI,open,deferred,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,deferred until after theoretical-model gate and calibration readiness,Keep open if open; mark deferred/excluded in reconciliation ledger and Project fields where supported.
SWE-GUI-LOG,74,"[SWE-GUI-LOG] Structured log, warning, residual and diagnostic presentation.",Deliverable,SWE-GUI,open,deferred,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,deferred until after theoretical-model gate and calibration readiness,Keep open if open; mark deferred/excluded in reconciliation ledger and Project fields where supported.
SWE-GUI-VIS,75,[SWE-GUI-VIS] Lightweight terrain/mesh/field preview and ParaView hand-off.,Deliverable,SWE-GUI,open,deferred,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,deferred until after theoretical-model gate and calibration readiness,Keep open if open; mark deferred/excluded in reconciliation ledger and Project fields where supported.
SWE-GUI-POST,76,"[SWE-GUI-POST] Result catalogue, case comparison and metric-history views.",Deliverable,SWE-GUI,open,deferred,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,deferred until after theoretical-model gate and calibration readiness,Keep open if open; mark deferred/excluded in reconciliation ledger and Project fields where supported.
SWE-VER-UNIT,77,"[SWE-VER-UNIT] Unit tests for data structures, geometry, operators, schemas and solver components.",Deliverable,SWE-VER,open,partial,g6_required,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-VER-ACC,78,"[SWE-VER-ACC] Runtime acceptance checks for mass conservation, bounded volume fraction, positive turbulence variables, residual tolerances, CFL limits and timestep acceptance.",Deliverable,SWE-VER,open,partial,g6_required,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-VER-BMK,79,[SWE-VER-BMK] Regional and local solver-capability benchmark suite.,Deliverable,SWE-VER,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-VER-REG,80,"[SWE-VER-REG] Regression, restart reproducibility, schema round-trip and reference-result tests.",Deliverable,SWE-VER,open,partial,g6_required,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-VER-CONV,81,[SWE-VER-CONV] Mesh- and timestep-convergence study harness.,Deliverable,SWE-VER,open,not_started,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,mesh- and timestep-convergence harness and accepted studies,No automatic issue mutation; preserve current state.
SWE-VER-VAL,82,"[SWE-VER-VAL] Observation, Tohoku hydrodynamic and impact/loading comparison harness; execution and acceptance remain governed by `RES-VER`.",Deliverable,SWE-VER,open,not_started,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,observation validation and approved comparison harness,No automatic issue mutation; preserve current state.
SWE-HPC-PROF,83,"[SWE-HPC-PROF] Serial performance, memory and scalability baseline.",Deliverable,SWE-HPC,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"MPI scaling, CPU affinity and GPU feasibility after G6",Keep open; mark post-G6 in reconciliation ledger and Project fields where supported.
SWE-HPC-SIMD,84,[SWE-HPC-SIMD] Vectorisation and data-layout optimisation.,Deliverable,SWE-HPC,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"MPI scaling, CPU affinity and GPU feasibility after G6",Keep open; mark post-G6 in reconciliation ledger and Project fields where supported.
SWE-HPC-OMP,85,[SWE-HPC-OMP] Shared-memory parallel execution.,Deliverable,SWE-HPC,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"MPI scaling, CPU affinity and GPU feasibility after G6",Keep open; mark post-G6 in reconciliation ledger and Project fields where supported.
SWE-HPC-MPI,86,[SWE-HPC-MPI] Distributed-memory decomposition and execution.,Deliverable,SWE-HPC,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"MPI scaling, CPU affinity and GPU feasibility after G6",Keep open; mark post-G6 in reconciliation ledger and Project fields where supported.
SWE-HPC-GPU,87,[SWE-HPC-GPU] GPU execution backend after profiling and interface stabilisation.,Deliverable,SWE-HPC,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"MPI scaling, CPU affinity and GPU feasibility after G6",Keep open; mark post-G6 in reconciliation ledger and Project fields where supported.
SWE-HPC-AIO,88,[SWE-HPC-AIO] Bounded asynchronous and parallel I/O optimisation.,Deliverable,SWE-HPC,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,"MPI scaling, CPU affinity and GPU feasibility after G6",Keep open; mark post-G6 in reconciliation ledger and Project fields where supported.
SWE-STR-LOD,89,[SWE-STR-LOD] Fluid-to-structure hydrodynamic load-transfer interface.,Deliverable,SWE-STR,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-STR-MAT,90,[SWE-STR-MAT] Material and structural-model adapter.,Deliverable,SWE-STR,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-STR-FEM,91,[SWE-STR-FEM] Deformable structural discretisation and solver.,Deliverable,SWE-STR,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-STR-DMG,92,"[SWE-STR-DMG] Damage, failure and material-response extension.",Deliverable,SWE-STR,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-STR-FSI,93,[SWE-STR-FSI] Two-way fluid--structure coupling and feedback.,Deliverable,SWE-STR,open,deferred,post_g6,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-REL-CI,94,"[SWE-REL-CI] Automated configure, build, test and artefact workflows.",Deliverable,SWE-REL,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-REL-PKG,95,[SWE-REL-PKG] Cross-platform application and runtime packaging.,Deliverable,SWE-REL,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-REL-DOC,96,"[SWE-REL-DOC] Developer, user, case-schema and scientific-software documentation.",Deliverable,SWE-REL,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-REL-REP,97,"[SWE-REL-REP] Versioned reproducibility bundle containing configuration, manifests, environment, test evidence and release artefacts.",Deliverable,SWE-REL,open,partial,excluded_from_current_scope,Deferred,No complete acceptance evidence identified in this G6 audit; issue remains open or outside the current gate.,acceptance evidence remains to be produced in the owning workstream,No automatic issue mutation; preserve current state.
SWE-ENV-STACK-WP1,98,[SWE-ENV-STACK-WP1] Confirm the production software stack,Work Package,SWE-ENV-STACK,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-STACK-WP1-T1,99,[SWE-ENV-STACK-WP1-T1] Map required capabilities to mandatory and optional dependencies.,Task,SWE-ENV-STACK-WP1,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-STACK-WP1-T2,100,"[SWE-ENV-STACK-WP1-T2] Record selected libraries, versions, alternatives and deferred components.",Task,SWE-ENV-STACK-WP1,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-STACK-WP1-T3,101,[SWE-ENV-STACK-WP1-T3] Approve the stack decision register and downstream ownership.,Task,SWE-ENV-STACK-WP1,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-BLD-WP1,102,[SWE-ENV-BLD-WP1] Create the target-based CMake scaffold,Work Package,SWE-ENV-BLD,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-BLD-WP1-T1,103,[SWE-ENV-BLD-WP1-T1] Define the CMake/C++20 baseline and root project configuration.,Task,SWE-ENV-BLD-WP1,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
SWE-ENV-BLD-WP1-T2,104,"[SWE-ENV-BLD-WP1-T2] Create library, CLI, Qt application and test target skeletons.",Task,SWE-ENV-BLD-WP1,closed,complete_native,excluded_from_current_scope,Native,Issue is already closed with state_reason=completed; existing closure evidence is retained in GitHub comments or linked PRs where available.,,No automatic issue mutation; preserve current state.
